Pair: CFB and TRN, Profit: 1280.7498155649243
Pair: FBK and MSBI, Profit: 1275.8893174306668
Pair: TRMK and UMBF, Profit: 1271.7701946044276
Pair: NFBK and TCBK, Profit: 1271.701602879455
Pair: HTBK and SBSI, Profit: 1271.5283825019226
Pair: CFB and CHEF, Profit: 1261.6216608218724
Pair: SHBI and STRA, Profit: 1256.001364179308
Pair: FELE and HTLF, Profit: 1253.2541139103569
Pair: FBMS and FCNCA, Profit: 1252.4736952751377
Pair: FBMS and UMBF, Profit: 1252.4280713384753
Pair: HBNC and TRMK, Profit: 1250.3562385099738
Pair: SYBT and TRST, Profit: 1247.1654996494933
Pair: GBCI and SSB, Profit: 1244.4089019136497
Pair: FELE and WSFS, Profit: 1242.965352849188
Pair: BWB and FBK, Profit: 1242.215974927615
Pair: CTS and WSFS, Profit: 1241.2571834556793
Pair: HBNC and HTLF, Profit: 1238.4522967355094
Pair: AMTB and TRST, Profit: 1236.499367028086
Pair: SSB and SYBT, Profit: 1235.4256983708988
Pair: FCNCA and HTLF, Profit: 1233.5623642821652
Pair: FBMS and FELE, Profit: 1232.2889221933851
Pair: FBK and SSB, Profit: 1230.0411175928182
Pair: INDB and TRMK, Profit: 1223.091687107041
Pair: UMBF and WSFS, Profit: 1220.798380894761
Pair: FCNCA and SSB, Profit: 1219.96903994802
Pair: EVBN and FELE, Profit: 1216.6284409651123
Pair: FLIC and SSB, Profit: 1214.0052006913704
Pair: PFS and TRST, Profit: 1211.4927568843627
Pair: APOG and CPT, Profit: 1210.3978201163113
Pair: FELE and TFIN, Profit: 1203.5898306684387
Pair: FBK and SHBI, Profit: 1202.91135065458
Pair: BWB and HBNC, Profit: 1198.9721951934162
Pair: AMTB and HTLF, Profit: 1197.2021519179254
Pair: SBSI and SYBT, Profit: 1191.7391155239366
Pair: CFB and TRMK, Profit: 1189.5839803776921
Pair: FCNCA and INDB, Profit: 1181.6559156845792
Pair: MSBI and WABC, Profit: 1176.5183941763187
Pair: HFWA and UMBF, Profit: 1168.0177753046469
Pair: NFBK and WSFS, Profit: 1166.503746560187
Pair: CFB and SBSI, Profit: 1164.3597353239254
Pair: FELE and UPBD, Profit: 1161.4419573389775
Pair: BUSE and EVBN, Profit: 1161.254570466529
Pair: FMNB and WSFS, Profit: 1157.764725401927
Pair: HBNC and SBSI, Profit: 1146.4132952618013
Pair: HTBK and WSBC, Profit: 1143.9719549177619
Pair: BUSE and MRTN, Profit: 1142.4273391292438
Pair: HBNC and NTCT, Profit: 1141.5284427521867
Pair: HBNC and TCBK, Profit: 1137.5042261404192
Pair: FRST and TCBK, Profit: 1135.6011800947122
Pair: SHBI and TFIN, Profit: 1135.1118221591619
Pair: BUSE and UPBD, Profit: 1130.9549876782355
Pair: FCNCA and FMBH, Profit: 1127.968068938403
Pair: EVBN and HBNC, Profit: 1123.8561765560037
Pair: EVBN and SHBI, Profit: 1123.2438773009667
Pair: SSB and UPBD, Profit: 1121.5475591608651
Pair: BUSE and PFS, Profit: 1120.3423687145034
Pair: RJF and TRST, Profit: 1118.5796414212175
Pair: BUSE and EXPO, Profit: 1118.2518204288494
Pair: AMTB and SYBT, Profit: 1117.9442795427892
Pair: CFB and FBMS, Profit: 1117.2689928702139
Pair: HTBK and MSBI, Profit: 1114.8187850769348
Pair: CFB and EXPO, Profit: 1111.8541765670313
Pair: EXPO and SSB, Profit: 1111.5370926965102
Pair: CFB and UPBD, Profit: 1106.0046046582206
Pair: CFB and NTCT, Profit: 1105.8416192832894
Pair: FRST and INDB, Profit: 1103.8466753571488
Pair: HTBK and TRST, Profit: 1099.0139174375374
Pair: BUSE and FBMS, Profit: 1096.8876657157623
Pair: IBTX and UMBF, Profit: 1096.6092326790263
Pair: COLB and EBC, Profit: 1092.683162808976
Pair: SBSI and TFIN, Profit: 1089.1695355189333
Pair: SIGI and TCBK, Profit: 1086.5646276689563
Pair: FNB and SNV, Profit: 1084.3729801680367
Pair: COIN and RIOT, Profit: 1084.3263634048708
Pair: FELE and UMBF, Profit: 1084.202514470398
Pair: FNB and WTFC, Profit: 1083.970331644934
Pair: ENOV and GRC, Profit: 1080.47014726557
Pair: CADE and SSB, Profit: 1080.3278439506676
Pair: IBTX and SHBI, Profit: 1077.5301106691998
Pair: IBTX and SBSI, Profit: 1076.6110207292147
Pair: TRN and WSFS, Profit: 1076.1195730091076
Pair: SBSI and WSFS, Profit: 1075.3436608015127
Pair: HFWA and SSB, Profit: 1069.044687548505
Pair: AMTB and THFF, Profit: 1068.3708074473764
Pair: TCBK and TRN, Profit: 1067.7617099452937
Pair: BY and WTFC, Profit: 1066.335746651638
Pair: FNB and UBSI, Profit: 1066.2656535841004
Pair: HBNC and UMBF, Profit: 1065.9845990716976
Pair: BUSE and HTLF, Profit: 1065.1601492574098
Pair: ARCB and SSB, Profit: 1064.6834753944966
Pair: FCNCA and TRST, Profit: 1060.5249409901357
Pair: AMAL and AUB, Profit: 1055.6555549942173
Pair: FELE and TRST, Profit: 1049.3074648426318
Pair: CFB and CTBI, Profit: 1040.9369826850595
Pair: INDB and SHBI, Profit: 1038.0934127927762
Pair: CFB and MBC, Profit: 1037.3061798414406
Pair: PFBC and SHBI, Profit: 1034.4678819519245
Pair: RJF and SBSI, Profit: 1030.75407413236
Pair: BUSE and TCBK, Profit: 1029.083988550157
Pair: HBNC and THFF, Profit: 1026.030958271116
Pair: FBK and HTBK, Profit: 1023.6331872884299
Pair: HBNC and HTBK, Profit: 1022.7891989552252
Pair: CFFN and FCF, Profit: 1020.5932668378473
Pair: TRST and WNC, Profit: 1016.2031541644518
Pair: SBSI and SSB, Profit: 1009.6676617728825
Pair: WSBC and WTFC, Profit: 1004.310988251429
Pair: FELE and SSB, Profit: 1003.8140455199691
Pair: FBMS and SHBI, Profit: 1003.4793371118146
Pair: CFB and GEF, Profit: 1002.5103802097074
Pair: AUB and SASR, Profit: 993.3524307170942
Pair: FCNCA and UMBF, Profit: 984.9534467336699
Pair: HTBK and INDB, Profit: 984.448502880903
Pair: FBMS and SSB, Profit: 983.4986621893971
Pair: AMTB and TCBK, Profit: 980.031088220378
Pair: CFB and PFS, Profit: 979.5468285325637
Pair: AMTB and WABC, Profit: 966.1133259112029
Pair: FBMS and PFS, Profit: 964.7141821831046
Pair: BWB and INDB, Profit: 963.4011983651001
Pair: FRST and SSB, Profit: 961.5863139427119
Pair: AMTB and CFB, Profit: 960.5526761543078
Pair: BUSE and HTBK, Profit: 951.8450511023415
Pair: WSFS and WSBC, Profit: 947.0536830736153
Pair: AMTB and FBK, Profit: 942.1831278479366
Pair: CFB and TCBK, Profit: 937.4021660551547
Pair: FNB and VBTX, Profit: 937.36556659017
Pair: SHBI and TCBK, Profit: 931.5011045132451
Pair: NFBK and SSB, Profit: 929.1754410670975
Pair: FBMS and TFIN, Profit: 928.314224974632
Pair: CFB and LKFN, Profit: 924.4245998779408
Pair: FELE and SHBI, Profit: 923.2413341275122
Pair: EBC and SNV, Profit: 918.1168711207397
Pair: FRST and WSFS, Profit: 915.9400989488508
Pair: FELE and SBSI, Profit: 913.8828272902821
Pair: AMTB and HTBK, Profit: 912.7603596522072
Pair: CFB and HCSG, Profit: 909.604955707267
Pair: AMTB and SBSI, Profit: 903.978735559096
Pair: CFB and UMBF, Profit: 903.545778439593
Pair: CFB and PFBC, Profit: 903.0800035703935
Pair: SSB and WSBC, Profit: 895.2859875611928
Pair: BUSE and WABC, Profit: 886.3573857569316
Pair: FELE and FMBH, Profit: 885.6543923947927
Pair: HBNC and PFBC, Profit: 880.4039359121073
Pair: BRC and GAM, Profit: 876.2483501954996
Pair: FCNCA and WSFS, Profit: 874.5306062414337
Pair: CFB and INDB, Profit: 874.0462096624681
Pair: FCNCA and THFF, Profit: 872.5033808055214
Pair: CFB and FBK, Profit: 871.9605796947772
Pair: CFB and MRTN, Profit: 863.0849224369816
Pair: SSB and TRMK, Profit: 862.2870620537115
Pair: ABCB and CBSH, Profit: 860.6657804554352
Pair: SIGI and WSFS, Profit: 860.3680566808903
Pair: MARA and MSTR, Profit: 857.5999008961039
Pair: BKU and PPBI, Profit: 857.0484919633684
Pair: COIN and MARA, Profit: 854.2809824283337
Pair: FHB and WSBC, Profit: 851.9496125108969
Pair: EXR and PSA, Profit: 850.9961208565073
Pair: HBNC and WABC, Profit: 843.571314271876
Pair: BUSE and NBHC, Profit: 842.9514949728225
Pair: HOMB and WTFC, Profit: 837.9100413696455
Pair: FELE and NBHC, Profit: 836.9908264354468
Pair: FCNCA and SHBI, Profit: 836.7250210014807
Pair: AMTB and INDB, Profit: 832.8415598136733
Pair: PFS and SBSI, Profit: 829.7886696362893
Pair: ONB and WSBC, Profit: 819.9933429946338
Pair: FELE and WNC, Profit: 815.0735463770583
Pair: TFIN and WSFS, Profit: 813.2113297327826
