Pair: BTBT and RGTI, Profit: 1710.0927356075103
Pair: HRI and HUBB, Profit: 1709.8470657360892
Pair: EVBN and OFLX, Profit: 1709.8289059194367
Pair: EFSC and PFBC, Profit: 1708.7637331725148
Pair: BFZ and UNTY, Profit: 1708.310577579724
Pair: JHG and NGS, Profit: 1707.1182216024647
Pair: LUNR and OKLO, Profit: 1705.3874950032007
Pair: CEAD and GIFI, Profit: 1704.4885965720741
Pair: AMZN and VRT, Profit: 1701.6247458121716
Pair: CORZ and IREN, Profit: 1701.4941430699444
Pair: FFBC and MBWM, Profit: 1698.6781263545774
Pair: BANR and PFBC, Profit: 1693.6410878875547
Pair: PAM and TGS, Profit: 1692.6577739279958
Pair: AI and OKLO, Profit: 1692.6042746792073
Pair: BKU and QCRH, Profit: 1692.2178525858867
Pair: BY and WASH, Profit: 1688.808002248612
Pair: ASTE and UFPT, Profit: 1687.6789011050428
Pair: GSHD and STN, Profit: 1686.999080755015
Pair: NVDA and SOFI, Profit: 1681.191527990581
Pair: CEAD and SKT, Profit: 1677.8704746342635
Pair: CEG and IONQ, Profit: 1677.4534010982643
Pair: BEKE and IQ, Profit: 1676.6878337731362
Pair: CATY and PFBC, Profit: 1675.721937350501
Pair: JXN and SOFI, Profit: 1674.6863338680257
Pair: HUT and JEF, Profit: 1674.3899324075824
Pair: EVR and PIPR, Profit: 1672.177815742572
Pair: FRME and UVSP, Profit: 1669.24003289315
Pair: OKLO and RKLB, Profit: 1668.5579724405334
Pair: GDS and TIGR, Profit: 1668.5401289004917
Pair: FFBC and WASH, Profit: 1666.7345155658847
Pair: DRTS and NGVT, Profit: 1665.7242739690882
Pair: CLS and HOOD, Profit: 1665.6426825707756
Pair: ASTE and HLIO, Profit: 1664.892790946638
Pair: MSTR and TEM, Profit: 1664.7330216241573
Pair: BFIN and NYMTM, Profit: 1663.0359836547825
Pair: QUBT and WULF, Profit: 1662.7249207532923
Pair: BEPI and DLHC, Profit: 1657.7663791095706
Pair: CIFR and MARA, Profit: 1656.913764398498
Pair: BY and PPBI, Profit: 1654.2323272307012
Pair: AIT and WSM, Profit: 1654.036553539849
Pair: EVGO and QS, Profit: 1653.5122896464986
Pair: CAC and RGCO, Profit: 1653.4967527170684
Pair: ASTS and SMR, Profit: 1652.2252440980749
Pair: ARM and SOFI, Profit: 1650.877735630911
Pair: GEV and NNE, Profit: 1648.9047294113125
Pair: INTC and NVDA, Profit: 1647.0298058931526
Pair: AMTB and BY, Profit: 1644.3280044964517
Pair: LAZ and PNFP, Profit: 1643.1720570027378
Pair: INN and MSIF, Profit: 1641.6838558053544
Pair: PBF and VLO, Profit: 1637.4406965681828
Pair: OKLO and QBTS, Profit: 1637.1142255487403
Pair: HOOD and NOW, Profit: 1635.723226312885
Pair: AVBP and ICMB, Profit: 1635.3190486411675
